MSZoning,SalePrice
FV,177000
RL,200100
RL,120000
RM,200000
RL,127000
RM,475000
RL,173000
RL,135000
RL,153337
RL,286000
RL,315000
RL,184000
RL,192000
RM,130000
RL,127000
RL,148500
RL,311872
RL,235000
RM,104000
RL,274900
RM,140000
RL,171500
RL,112000
RM,149000
RM,110000
RL,180500
RL,143900
RL,141000
RL,277000
RL,145000
RL,98000
RL,186000
FV,252678
RL,156000
RL,161750
RL,134450
RL,210000
RM,107000
RL,311500
RL,167240
RL,204900
RL,200000
RL,179900
RL,97000
RL,386250
RM,112000
RL,290000
RM,106000
RL,125000
RL,192500
RL,148000
RL,403000
RM,94500
RL,128200
RL,216500
RM,89500
RL,185500
RL,194500
RL,318000
RL,113000
FV,262500
RM,110500
RM,79000
RL,120000
RL,205000
RL,241500
RM,137000
RL,140000
RL,180000
RL,277000
RL,76500
RM,235000
RL,173000
RL,158000
RL,145000
RL,230000
FV,207500
RL,220000
RL,231500
RM,97000
RL,176000
RL,276000
RL,151000
RM,130000
RM,73000
RL,175500
RL,185000
RL,179500
RM,120500
RL,148000
FV,266000
RL,241500
RL,290000
RL,139000
RL,124500
RL,205000
RL,201000
RL,141000
RL,415298
RL,192000
RL,228500
FV,185000
RL,207500
RL,244600
RL,179200
FV,164700
RL,159000
RL,88000
RL,122000
RL,153575
RL,233230
RL,135900
RL,131000
RL,235000
RL,167000
RL,142500
RM,152000
FV,239000
RL,175000
RL,158500
RL,157000
RL,267000
RL,205000
RL,149900
RM,295000
RL,305900
RL,225000
RM,89500
RL,82500
RL,360000
RL,165600
RL,132000
RM,119900
RL,375000
RM,178000
RL,188500
RL,260000
FV,270000
RL,260000
RL,187500
RL,342643
RL,354000
RL,301000
RM,126175
RL,242000
RM,87000
RL,324000
RL,145250
RL,214500
RM,78000
RL,119000
RL,139000
RL,284000
RM,207000
RL,192000
RL,228950
RL,377426
RL,214000
RL,202500
RL,155000
RL,202900
RH,82000
RL,87500
RL,266000
RM,85000
RL,140200
RL,151500
RL,157500
RL,154000
RL,437154
RL,318061
RL,190000
RL,95000
RM,105900
RL,140000
RL,177500
RL,173000
RM,134000
RL,130000
RL,280000
RL,156000
RL,145000
RL,198500
RM,118000
RL,190000
RM,147000
RL,159000
RL,165000
RL,132000
RL,162000
RL,172400
RL,134432
RL,125000
RL,123000
RL,219500
RL,61000
RL,148000
FV,340000
RL,394432
RL,179000
RL,127000
FV,187750
RL,213500
RH,76000
RL,240000
RL,192000
RL,81000
RL,125000
RL,191000
RL,426000
RL,119000
RL,215000
RL,106500
RL,100000
RL,109000
RL,129000
RL,123000
RL,169500
RM,67000
FV,241000
RL,245500
RL,164990
RL,108000
RL,258000
RL,168000
RL,150000
RL,115000
RL,177000
RL,280000
FV,339750
RL,60000
RL,145000
FV,222000
RM,115000
RL,228000
RL,181134
RL,149500
RL,239000
RL,126000
RL,142000
RM,206300
RL,215000
RL,113000
RL,315000
RL,139000
RM,135000
RL,275000
RL,109008
RL,195400
RL,175000
RM,85400
RM,79900
RM,122500
RL,181000
RM,81000
RL,212000
RM,116000
RM,119000
RL,90350
RL,110000
RL,555000
RL,118000
RM,162900
RL,172500
RL,210000
RL,127500
RL,190000
RL,199900
RM,119500
RM,120000
RM,110000
RL,280000
RL,204000
FV,210000
RL,188000
RL,175500
RM,98000
RL,256000
RM,161000
RL,110000
FV,263435
RL,155000
RL,62383
RL,188700
RL,124000
RM,178740
RL,167000
RL,146500
RL,250000
RL,187000
RL,212000
RL,190000
RM,148000
RL,440000
RL,251000
RL,132500
RL,208900
RL,380000
RL,297000
RM,89471
RL,326000
RL,374000
RM,155000
RM,164000
RL,132500
RL,147000
RL,156000
RL,175000
RL,160000
RM,86000
RM,115000
RL,133000
RL,172785
RL,155000
RM,91300
C (all),34900
RL,430000
RL,184000
RL,130000
RL,120000
RM,113000
FV,226700
RL,140000
RL,289000
RL,147000
RM,124500
RL,215000
FV,208300
RM,161000
RL,124500
RL,164900
RL,202665
RL,129900
RL,134000
RL,96500
RL,402861
RL,158000
RL,265000
RL,211000
RL,234000
RL,106250
RL,150000
RM,159000
RL,184750
RL,315750
FV,176000
RL,132000
RL,446261
RL,86000
RL,200624
RL,175000
RM,128000
RL,107500
RL,39300
RL,178000
RL,107500
RL,188000
RL,111250
RL,158000
RL,272000
RL,315000
RL,248000
RL,213250
RH,133000
RL,179665
RL,229000
RL,210000
RL,129500
RM,125000
FV,263000
RL,140000
RM,112500
RL,255500
RL,108000
RL,284000
RM,113000
RL,141000
C (all),108000
RL,175000
RL,234000
RL,121500
RL,170000
RL,108000
RL,185000
RL,268000
RL,128000
RL,325000
RL,214000
RL,316600
RL,135960
RL,142600
RL,120000
RL,224500
RL,170000
RL,139000
RL,118500
RL,145000
RL,164500
FV,146000
RM,131500
RL,181900
RL,253293
RL,118500
RM,325000
RM,133000
RL,369900
RL,130000
RL,137000
RL,143000
RM,79500
RL,185900
RL,451950
RL,138000
RM,140000
RL,110000
RL,319000
RM,114504
RL,194201
RL,217500
RM,151000
RL,275000
RM,141000
RL,220000
FV,151000
RL,221000
RL,205000
RL,152000
RL,225000
RL,359100
RL,118500
RL,313000
RL,148000
RL,261500
RL,147000
RM,75500
RL,137500
RL,183200
RL,105500
RL,314813
RL,305000
RL,67000
RL,240000
RL,135000
FV,168500
RL,165150
RL,160000
RL,139900
RL,153000
RL,135000
RL,168500
RM,124000
RL,209500
RL,82500
RL,139400
RL,144000
RH,200000
RM,60000
RM,93000
RL,85000
RL,264561
RL,274000
FV,226000
RL,345000
RL,152000
FV,370878
RL,143250
RL,98300
RL,155000
RL,155000
RM,84500
FV,205950
RL,108000
RL,191000
RM,135000
RL,350000
RM,88000
RL,145500
RL,149000
RL,97500
RL,167000
RL,197900
RL,402000
RL,110000
RL,137500
RL,423000
RL,230500
RL,129000
RL,193500
RL,168000
RL,137500
RL,173500
RH,103600
RL,165000
RL,257500
RL,140000
RL,148500
RM,87000
RL,109500
RL,372500
RL,128500
RL,143000
RH,159434
RL,173000
RL,285000
RL,221000
RL,207500
FV,227875
FV,148800
RL,392000
RL,194700
RM,141000
RL,755000
RL,335000
RL,108480
RM,141500
RL,176000
RM,89000
RL,123500
RL,138500
FV,196000
RL,312500
RL,140000
RL,361919
RM,140000
RL,213000
RM,55000
RL,302000
RL,254000
RL,179540
RL,109900
RL,52000
C (all),102776
RL,189000
RL,129000
RL,130500
RL,165000
RM,159500
RL,157000
RL,341000
RL,128500
RL,275000
RM,143000
RL,124500
RL,135000
RL,320000
RL,120500
RL,222000
RL,194500
RL,110000
RM,103000
RL,236500
RL,187500
RL,222500
RL,131400
RL,108000
RM,163000
RL,93500
RL,239900
RL,179000
RL,190000
RM,132000
RL,142000
RL,179000
RL,175000
RL,180000
RL,299800
RL,236000
RM,265979
RL,260400
RL,98000
RM,96500
RL,162000
RL,217000
RL,275500
RL,156000
FV,172500
RL,212000
RL,158900
FV,179400
RL,290000
RL,127500
RM,100000
FV,215200
RL,337000
RL,270000
RL,264132
RL,196500
RL,160000
RL,216837
RL,538000
RL,134900
RL,102000
RL,107000
RL,114500
RL,395000
RM,162000
RL,221500
RL,142500
RH,144000
RL,135000
RL,176000
RL,175900
RL,187100
RL,165500
RM,128000
RL,161500
RM,139000
RL,233000
RM,107900
RL,187500
RL,160200
RL,146800
RL,269790
RL,225000
RL,194500
RL,171000
RL,143500
RL,110000
RL,485000
RL,175000
RL,200000
RM,109900
RL,189000
RL,582933
RL,118000
RL,227680
RL,135500
RL,223500
RL,159950
RM,106000
RL,181000
RM,144500
C (all),55993
RL,157900
RL,116000
RL,224900
RL,137000
RL,271000
RL,155000
RL,224000
RL,183000
RM,93000
RL,225000
RL,139500
FV,232600
RL,385000
RM,109500
RL,189000
RL,185000
FV,147400
RL,166000
FV,151000
RL,237000
RL,167000
RL,139950
RL,128000
RM,153500
RM,100000
RL,144000
RL,130500
RH,140000
RM,157500
RL,174900
RL,141000
RM,153900
RL,171000
RL,213000
RL,133500
RL,240000
RL,187000
RM,131500
RL,215000
RL,164000
RL,158000
RL,170000
RL,127000
RL,147000
RL,174000
RL,152000
RL,250000
RL,189950
RL,131500
RL,152000
RL,132500
FV,250580
RL,148500
RL,248900
RL,129000
RL,169000
RL,236000
RL,109500
RL,200500
RL,116000
RL,133000
RM,66500
FV,303477
RL,132250
RL,350000
RL,148000
RL,136500
RL,157000
RL,187500
RL,178000
RL,118500
RL,100000
FV,328900
RL,145000
RL,135500
RL,268000
RL,149500
RL,122900
RL,172500
RL,154500
RL,165000
RL,118858
RL,140000
RM,106500
RL,142953
RL,611657
RL,135000
RL,110000
RL,153000
RL,180000
RL,240000
RL,125500
RL,128000
RL,255000
RL,250000
RL,131000
RL,174000
RL,154300
RL,143500
RM,88000
RH,145000
FV,173733
RM,75000
C (all),35311
RL,135000
RL,238000
RL,176500
RL,201000
RL,145900
RL,169990
RL,193000
RL,207500
RL,175000
RL,285000
RL,176000
RL,236500
RL,222000
RL,201000
RL,117500
RL,320000
RL,190000
RL,242000
RL,79900
RL,184900
RL,253000
RL,239799
RL,244400
RL,150900
RL,214000
RL,150000
RL,143000
RL,137500
RM,124900
RL,143000
RL,270000
RL,192500
RL,197500
RL,129000
RH,119900
RL,133900
RL,172000
RL,127500
RH,145000
RM,124000
RL,132000
RL,185000
FV,155000
RL,116500
RL,272000
RL,155000
RL,239000
RL,214900
RL,178900
RL,160000
RL,135000
RM,37900
RL,140000
RL,135000
RL,173000
RL,99500
FV,182000
RL,167500
FV,165000
RL,85500
FV,199900
RL,110000
RL,139000
RL,178400
RL,336000
RL,159895
RL,255900
RL,126000
RL,125000
RM,117000
RL,395192
RL,195000
FV,197000
RL,348000
RM,168000
RL,187000
RL,173900
RL,337500
RL,121600
RL,136500
RL,185000
RM,91000
RL,206000
RL,82000
RL,86000
RL,232000
RL,136905
RL,181000
RL,149900
RL,163500
RM,88000
RL,240000
RL,102000
RL,135000
RL,100000
RL,165000
RM,85000
RL,119200
RL,227000
RL,203000
RL,187500
RL,160000
RL,213490
RL,176000
RL,194000
RM,87000
RL,191000
RL,287000
RL,112500
RL,167500
RL,293077
RL,105000
RM,118000
RH,160000
RL,197000
RL,310000
RL,230000
RL,119750
RL,84000
RL,315500
RL,287000
RM,97000
RM,80000
RL,155000
RL,173000
RL,196000
RL,262280
RL,278000
RL,139600
RL,556581
RL,145000
RL,115000
RL,84900
RL,176485
RL,200141
RL,165000
RL,144500
RL,255000
RL,180000
RL,185850
RL,248000
RL,335000
RL,220000
RL,213500
C (all),81000
RM,90000
RM,110500
RL,154000
RL,328000
RL,178000
RL,167900
RM,151400
RL,135000
RL,135000
RL,154000
RL,91500
RL,159500
RL,194000
RL,219500
RL,170000
RL,138800
RM,155900
RL,126000
RL,145000
RL,133000
RL,192000
RL,160000
RL,187500
RL,147000
RM,83500
FV,252000
RM,137500
FV,197000
RL,92900
FV,160000
RL,136500
RL,146000
RL,129000
RL,176432
RM,127000
RL,170000
RM,128000
RL,157000
RL,60000
RL,119500
RL,135000
RL,159500
RM,106000
RL,325000
RL,179900
RL,274725
RL,181000
RL,280000
RL,188000
RL,205000
RL,129900
RL,134500
RL,117000
RL,318000
RL,184100
RL,130000
RL,140000
RL,133700
RM,118400
RL,212900
RL,112000
RL,118000
RL,163900
RL,115000
RL,174000
RL,259000
RL,215000
RM,140000
RL,135000
RL,93500
RM,117500
RL,239500
RL,169000
RM,102000
RL,119000
RL,94000
RL,196000
RL,144000
RL,139000
RL,197500
RL,424870
RL,80000
RL,80000
RM,149000
RL,180000
RL,174500
RM,116900
RM,143000
RL,124000
RL,149900
RL,230000
RM,120500
RL,201800
RL,218000
RL,179900
RL,230000
RL,235128
RL,185000
RL,146000
RL,224000
RL,129000
RL,108959
RL,194000
RL,233170
RL,245350
RL,173000
RL,235000
RL,625000
RL,171000
RL,163000
FV,171900
RL,200500
RL,239000
RL,285000
RL,119500
RM,115000
RL,154900
RL,93000
RL,250000
RM,392500
RL,745000
RL,120000
RL,186700
RL,104900
RL,95000
RL,262000
RL,195000
RL,189000
RL,168000
FV,174000
RM,125000
RM,165000
RL,158000
RL,176000
RL,219210
RM,144000
RL,178000
RL,148000
RL,116050
RL,197900
RM,117000
RL,213000
RL,153500
RL,271900
RH,107000
RL,200000
RL,140000
RL,290000
RL,189000
RL,164000
RL,113000
RL,145000
RL,134500
RL,125000
RM,112000
FV,229456
RM,80500
RM,91500
RL,115000
RL,134000
RL,143000
RL,137900
RL,184000
RL,145000
RL,214000
RL,147000
RL,367294
RL,127000
RL,190000
RL,132500
RL,101800
RL,142000
RH,130000
RL,138887
RL,175500
RL,195000
RL,142500
RL,265900
RL,224900
RL,248328
RL,170000
RL,465000
RL,230000
RL,178000
FV,186500
RL,169900
RM,129500
RL,119000
RL,244000
RL,171750
RL,130000
RL,294000
RL,165400
RM,127500
RL,301500
RL,99900
RL,190000
RL,151000
RL,181000
RL,128900
RL,161500
RL,180500
RH,181000
FV,183900
RM,122000
RL,378500
RL,381000
RL,144000
RL,260000
RL,185750
RL,137000
RL,177000
RL,139000
RL,137000
RL,162000
RL,197900
RL,237000
C (all),68400
RL,227000
RL,180000
RL,150500
RL,139000
RL,169000
RM,132500
RL,143000
RL,190000
RL,278000
RL,281000
RL,180500
RM,119500
RM,107500
RL,162900
RL,115000
RL,138500
RL,155000
RM,140000
RL,160000
RL,154000
RL,225000
RL,177500
RL,290000
RL,232000
RM,130000
RL,325000
RL,202500
RL,138000
RM,147000
RL,179200
RL,335000
RL,203000
RL,302000
RL,333168
RL,119000
RL,206900
RL,295493
FV,208900
RL,275000
RL,111000
RL,156500
RL,72500
RL,190000
RL,82500
RL,147000
RM,55000
RH,79000
RL,130500
RM,256000
RL,176500
RL,227000
RL,132500
RL,100000
RM,125500
RM,125000
RL,167900
RL,135000
RM,52500
RL,200000
RL,128500
RL,123000
RL,155000
RL,228500
RL,177000
RL,155835
RM,108500
RL,262500
RL,283463
RL,215000
RM,122000
RL,200000
RL,171000
RM,134900
RL,410000
RL,235000
RL,170000
RL,110000
RL,149900
FV,177500
RL,315000
RL,189000
RL,260000
RL,104900
RL,156932
FV,144152
FV,216000
RL,193000
RM,127000
RM,144000
RL,232000
RL,105000
RL,165500
RL,274300
RL,466500
FV,250000
RL,239000
RL,91000
RL,117000
RM,83000
RL,167500
RL,58500
RL,237500
RM,157000
RL,112000
RL,105000
RM,125500
RL,250000
RM,136000
RL,377500
RM,131000
RL,235000
RL,124000
RL,123000
RM,163000
RL,246578
RL,281213
RL,160000
RM,137500
RL,138000
RL,137450
RM,120000
RL,193000
RL,193879
RL,282922
RL,105000
RM,275000
RL,133000
RL,112000
RM,125500
RL,215000
RL,230000
RL,140000
RL,90000
RL,257000
RL,207000
RL,175900
RM,122500
RL,340000
RL,124000
RL,223000
RL,179900
RL,127500
RM,136500
RL,274970
RL,144000
RL,142000
RL,271000
RL,140000
RM,119000
RL,182900
RL,192140
RL,143750
RL,64500
RL,186500
RL,160000
RL,174000
RL,120500
RL,394617
RM,149700
RL,197000
RL,191000
RM,149300
FV,310000
RL,121000
RL,179600
RL,129000
RL,157900
RL,240000
RL,112000
RM,92000
RL,136000
RL,287090
RM,145000
RL,84500
FV,185000
RL,175000
RL,210000
RL,266500
RL,142125
RL,147500
